No,Kode Saham,Nama Perusahaan,Remarks,Sebelumnya,Open Price,Tanggal Perdagangan Terakhir,First Trade,Tertinggi,Terendah,Penutupan,Selisih,Volume,Nilai,Frekuensi,Index Individual,Offer,Offer Volume,Bid,Bid Volume,Listed Shares,Tradeble Shares,Weight For Index,Foreign Sell,Foreign Buy,Non Regular Volume,Non Regular Value,Non Regular Frequency
1,AALI,Astra Agro Lestari Tbk.,--S-113E100000D232------------,5500,0,24 Jun 2024,0,5700,5475,5600,100,1601200,8966015000,772,454.9,5625,900,5600,700,1924688333,1924688333,390711732,1212800,1134200,0,0,0
2,ABBA,Mahaka Media Tbk.,--U-4100000000E614-E---------X,21,0,24 Jun 2024,0,21,20,20,-1,1401200,28736700,94,44.2,20,242100,19,145100,3935892857,3935892857,1342139464,712300,0,0,0,0
3,ABDA,Asuransi Bina Dana Arta Tbk.,--U-4105000000G412-----------X,5000,0,24 Jun 2024,0,0,0,5000,0,0,0,0,1141.5,5000,71400,0,0,620806680,620806680,31474899,0,0,0,0,0
4,ABMM,ABM Investama Tbk.,XDM-1805000000A121------------,3440,0,24 Jun 2024,0,3470,3410,3440,0,1036200,3560046000,938,91.7,3450,89000,3440,2600,2753165000,2753165000,568803889,341300,108600,0,0,0
5,ACES,Aspirasi Hidup Indonesia Tbk.,XDSO1SK5MD1000E743------------,845,845,24 Jun 2024,850,855,840,845,0,24485400,20708223000,3994,1030.5,850,5134100,845,700400,17150000000,17150000000,6832560000,14266700,10538100,44,37400,1
6,ACRO,Samcro Hyosung Adilestari Tbk.,--U-2130000000E413------------,82,0,24 Jun 2024,0,85,81,83,1,1453100,120643100,256,76.9,83,105200,82,230900,3469138591,731863096,746211711,13800,600,0,0,0
7,ACST,Acset Indonusa Tbk.,--U-2135000000J211------------,93,0,24 Jun 2024,0,105,93,99,6,26793200,2672820500,1769,7.3,100,25000,99,1606300,12675160000,12675160000,1560312196,1125800,2194600,0,0,0
8,ADCP,Adhi Commuter Properti Tbk.,--U-2135000000H111------------,50,0,24 Jun 2024,0,50,50,50,0,219600,10980000,36,38.5,50,33572100,0,0,22222222200,22222222200,2222222220,0,0,0,0,0
9,ADES,Akasha Wira International Tbk.,--U-4135000000D212-----------X,9900,0,24 Jun 2024,0,10075,9900,10075,175,104200,1038580000,63,523.4,10100,4000,10075,1700,589896800,589896800,48961434,16100,0,0,0,0
10,ADHI,Adhi Karya (Persero) Tbk.,--S-183M750000J211------------,196,0,24 Jun 2024,0,204,195,200,4,15825400,3170936200,1416,172.1,200,803700,199,181400,8407608979,8407608979,2998994123,1673400,6585800,0,0,0
11,ADMF,Adira Dinamika Multi Finance Tbk.,--U-2105000000G211------------,12100,0,24 Jun 2024,0,12100,11925,11950,-150,14500,173147500,35,514,12025,800,11925,22800,1000000000,1000000000,79200000,200,0,0,0,0
12,ADMG,Polychem Indonesia Tbk,--U-2130000000B111------------,99,0,24 Jun 2024,0,104,99,100,1,138400,13735800,32,8.9,102,2000,99,214100,3889179559,3889179559,520372225,0,43400,0,0,0
13,ADMR,Adaro Minerals Indonesia Tbk.,--U-1K72F30000A121------------,1350,0,24 Jun 2024,0,1400,1320,1320,-30,15945300,21357197500,4283,1320,1325,9600,1320,224500,40882331500,40882331500,6606584770,8536400,5391600,1027500,1362465000,2
14,ADRO,Adaro Energy Indonesia Tbk.,--SO1XDAQ73000A121------------,2730,2730,24 Jun 2024,2720,2740,2700,2720,-10,15497700,42121294000,6283,247.3,2720,201200,2710,79900,31985962000,31985962000,12810377781,4468300,7639600,108,295060,2
15,AEGS,Anugerah Spareparts Sejahtera Tbk.,--U-3000000000E111------------,23,0,24 Jun 2024,0,23,21,23,0,11644000,267308700,157,23,24,97200,23,180200,1006009296,450359316,0,0,0,0,0,0
16,AGAR,Asia Sejahtera Mina Tbk.,--U-2130000000D231------------,374,0,24 Jun 2024,0,0,0,374,0,0,0,0,340,0,0,0,0,1000000000,1000000000,250100000,0,0,0,0,0
17,AGII,Samator Indo Gas Tbk.,--U-2135000000B111------------,1765,0,24 Jun 2024,0,1765,1745,1765,0,31500,55510000,28,160.5,1790,1700,1750,200,3066660000,3066660000,229999500,8500,0,0,0,0
18,AGRO,Bank Raya Indonesia Tbk.,--U-1805300000G111------------,218,0,24 Jun 2024,0,228,218,222,4,11607200,2596521600,1102,369.9,224,1566100,222,44900,24493093216,24493093216,3208595211,523000,1376000,0,0,0
19,AGRS,Bank IBK Indonesia Tbk.,--U-4105000000G111-----------X,52,0,24 Jun 2024,0,53,52,53,1,703300,36897900,57,68.6,54,233000,53,464500,37365877065,37365877065,2096225703,0,100000,0,0,0
20,AHAP,Asuransi Harta Aman Pratama Tbk.,--U-2100000000G412------------,90,0,24 Jun 2024,0,91,89,89,-1,5307300,477235600,249,427.4,89,4000,88,471600,4900000000,4900000000,1273020000,47700,15200,0,0,0
21,AIMS,Artha Mahiya Investama Tbk.,--U-4130000000A121----S------X,336,0,24 Jun 2024,0,340,324,324,-12,14000,4552800,33,259.2,324,19900,310,10000,220000000,220000000,49852000,3500,0,0,0,0
22,AISA,FKS Food Sejahtera Tbk.,--U-1135000000D222------------,108,0,24 Jun 2024,0,109,107,108,0,1391100,150112200,165,13.1,108,246400,107,339100,9311800000,9311800000,2460177560,100,125500,0,0,0
23,AKKU,Anugerah Kagum Karya Utama Tbk.,--U-4130000000E512-----------X,12,0,24 Jun 2024,0,12,11,12,0,121700,1342800,23,18.2,12,239300,11,386100,6449463636,6449463636,3938042496,0,0,0,0,0
24,AKPI,Argha Karya Prima Industry Tbk.,--U-2130000000B113------------,620,0,24 Jun 2024,0,680,605,620,0,25500,16611500,23,81.8,620,6500,610,50200,612248000,612248000,68449326,300,1600,0,0,0
25,AKRA,AKR Corporindo Tbk.,--SO1XDXMNS000A112------------,1580,1580,24 Jun 2024,1580,1640,1565,1630,50,30591000,49492305000,5133,6495.6,1630,32800,1625,62800,20073474600,20073474600,7156193695,11875000,19714700,88,138600,1
26,AKSI,Mineral Sumberdaya Mandiri Tbk.,--U-2130000000K211------------,107,0,24 Jun 2024,0,109,104,106,-1,681000,73070300,103,53,107,1000,106,2700,720000000,720000000,57528000,0,0,0,0,0
27,ALDO,Alkindo Naratama Tbk.,--U-2130000000B131------------,865,0,24 Jun 2024,0,870,850,855,-10,69000,59614500,16,653.9,855,18300,850,6100,1350356872,1350356872,343530788,0,200,0,0,0
28,ALII,Ancara Logistics Indonesia Tbk.,--U-1100000000A122------------,342,0,24 Jun 2024,0,354,338,344,2,713200,246256800,226,126.5,344,117200,342,123100,15825800000,13365160000,2448251260,100,78700,0,0,0
29,ALKA,Alakasa Industrindo Tbk,--U-2130000000B141------------,300,0,24 Jun 2024,0,336,290,306,6,14700,4641600,34,51.5,306,1000,304,3500,507665055,507665055,77723520,0,0,0,0,0
30,ALMI,Alumindo Light Metal Industry Tbk.,--U-4100000000B141-----------X,64,0,24 Jun 2024,0,64,63,63,-1,5000,315600,12,9.7,64,29700,63,100,3816000000,3816000000,169048800,0,0,0,0,0
31,ALTO,Tri Banyan Tirta Tbk.,--U-4100000000D212---L-------X,8,0,24 Jun 2024,0,8,8,8,0,244700,1957600,19,4,9,1000,8,135700,2191870558,2191870558,676630441,0,0,0,0,0
32,AMAG,Asuransi Multi Artha Guna Tbk.,--U-2105000000G412------------,310,0,24 Jun 2024,0,314,310,310,0,20200,6312400,23,295.2,312,18900,310,100,5001552516,5001552516,408626841,1900,0,0,0,0
33,AMAN,Makmur Berkah Amanda Tbk.,--U-2130000000H111------------,117,0,24 Jun 2024,0,122,114,121,4,18303800,2191659900,1511,110,121,205000,120,319500,3873500000,3873500000,454748900,2611000,2432200,0,0,0
34,AMAR,Bank Amar Indonesia Tbk.,XDU-2105000000G111------------,230,0,24 Jun 2024,0,232,220,230,0,135000,30806000,60,197.3,230,25800,228,5000,18197283760,18197283760,700595425,0,4100,0,0,0
35,AMFG,Asahimas Flat Glass Tbk.,--U-1135000000C121------------,4680,0,24 Jun 2024,0,4680,4600,4620,-60,38300,177646000,28,188.6,4680,2900,4610,100,434000000,434000000,84847000,2200,5600,0,0,0
36,AMIN,Ateliers Mecaniques D Indonesie Tbk.,--U-2130000000C143------------,148,0,24 Jun 2024,0,148,130,148,0,3400,485600,18,115.6,138,100,136,100,1080000000,1080000000,187920000,0,0,0,0,0
37,AMMN,Amman Mineral Internasional Tbk.,--UO1G30F00000B142------------,11000,11025,24 Jun 2024,11025,11200,10625,10800,-200,19277000,208974902500,8895,637.2,10850,3300,10800,109300,72518217656,61314183036,12509392546,7275700,9239100,50000019,540000209114,2
38,AMMS,Agung Menjangan Mas Tbk.,--U-3000000000D231------------,17,0,24 Jun 2024,0,18,17,18,1,98900,1728000,29,18,18,440300,17,104500,1200053509,1200053509,0,0,0,0,0,0
39,AMOR,Ashmore Asset Management Indonesia Tbk.,--U-2105000000G311------------,795,0,24 Jun 2024,0,820,790,795,0,5900,4697000,17,83.7,795,19600,790,100,2222222400,2222222400,203777794,2600,0,0,0,0
40,AMRT,Sumber Alfaria Trijaya Tbk.,--SO1U4ACA4000D113------------,2700,2700,24 Jun 2024,2700,2740,2700,2740,40,11164700,30508591000,3163,6991.8,2740,38300,2730,100,41524501700,41524501700,18843818871,9367600,10375100,6708358,18353822920,7
41,ANDI,Andira Agro Tbk.,--U-4130000000D232-----------X,6,0,24 Jun 2024,0,6,6,6,0,1846600,11079600,49,15,6,2065900,5,52053500,9350000000,9350000000,3266890000,0,0,0,0,0
